,Unnamed: 0,Unnamed: 0.1,Unsegmented_hashtag,Segmented_hashtag,Unsegmented_hashtag_lowerCase,Segmented_hashtag_lowerCase,segments_count
52623,52774,52774,GujaratPrimeMinister,Gujarat Prime Minister,gujaratprimeminister,gujarat prime minister,3
38610,38720,38720,WorldTour,World Tour,worldtour,world tour,2
90714,90962,90962,BrainCancerSurvivor,Brain Cancer Survivor,braincancersurvivor,brain cancer survivor,3
2987,2999,2999,MNMforSulur,MN Mfor Sulur,mnmforsulur,mn mfor sulur,3
162475,162875,162875,JustAnswered,Just Answered,justanswered,just answered,2
302252,302969,302969,PhoneALoanScam,Phone A Loan Scam,phonealoanscam,phone a loan scam,4
99082,99346,99346,TajashwiYadav,Tajashwi Yadav,tajashwiyadav,tajashwi yadav,2
130646,130979,130979,IIMRoad,IIM Road,iimroad,iim road,2
163574,163975,163975,NalluriSrinivasRao,Nalluri Srinivas Rao,nallurisrinivasrao,nalluri srinivas rao,3
1998,2004,2004,EveryvoteforModi,Everyvotefor Modi,everyvoteformodi,everyvotefor modi,2
76283,76495,76495,IndieDev,Indie Dev,indiedev,indie dev,2
223460,223998,223998,BudgetForNewsIndia,Budget For News India,budgetfornewsindia,budget for news india,4
280487,281153,281153,IMeantMacBethNotHamlet,I Meant Mac Beth Not Hamlet,imeantmacbethnothamlet,i meant mac beth not hamlet,6
204576,205068,205068,MaxGovernance,Max Governance,maxgovernance,max governance,2
146403,146766,146766,HistoricalElection2019,Historical Election 2019,historicalelection2019,historical election 2019,3
172722,173140,173140,BhaveshThombreOfficial,Bhavesh Thombre Official,bhaveshthombreofficial,bhavesh thombre official,3
134314,134658,134658,StateGovernments,State Governments,stategovernments,state governments,2
262221,262845,262845,JoinRishi,Join Rishi,joinrishi,join rishi,2
50441,50584,50584,AmirAbdullaKhan,Amir Abdulla Khan,amirabdullakhan,amir abdulla khan,3
325497,326264,326264,#YSRJayanthi,YSR Jayanthi,#ysrjayanthi,ysr jayanthi,2
6492,6515,6515,AllOutForVico,All Out For Vico,alloutforvico,all out for vico,4
131422,131757,131757,BlackopsScam,Blackops Scam,blackopsscam,blackops scam,2
171038,171455,171455,YouTubeVideo,You Tube Video,youtubevideo,you tube video,3
46740,46872,46872,FestivalOfColors,Festival Of Colors,festivalofcolors,festival of colors,3
249808,250409,250409,IgersGuanajuato,Igers Guanajuato,igersguanajuato,igers guanajuato,2
39016,39127,39127,DyingCongress,Dying Congress,dyingcongress,dying congress,2
224843,225387,225387,VaiKo,Vai Ko,vaiko,vai ko,2
241362,241939,241939,GodFaith,God Faith,godfaith,god faith,2
163897,164299,164299,IsupportSadhvi,Isupport Sadhvi,isupportsadhvi,isupport sadhvi,2
315353,316103,316103,SlowlySlowlyWinningHearts,Slowly Slowly Winning Hearts,slowlyslowlywinninghearts,slowly slowly winning hearts,4
121010,121323,121323,VoteScoNO,Vote Sco NO,votescono,vote sco no,3
133939,134283,134283,SalesforceDown,Salesforce Down,salesforcedown,salesforce down,2
237076,237644,237644,MehboobaOfPakistan,Mehbooba Of Pakistan,mehboobaofpakistan,mehbooba of pakistan,3
179665,180095,180095,IslamIsPeace,Islam Is Peace,islamispeace,islam is peace,3
218553,219082,219082,MpBjp,Mp Bjp,mpbjp,mp bjp,2
166005,166415,166415,DyanisticPolitics,Dyanistic Politics,dyanisticpolitics,dyanistic politics,2
176325,176749,176749,PakistanZindaBaad,Pakistan Zinda Baad,pakistanzindabaad,pakistan zinda baad,3
262414,263038,263038,AssamBoleModiModi,Assam Bole Modi Modi,assambolemodimodi,assam bole modi modi,4
79409,79627,79627,BJDMegaRoadShow,BJD Mega Road Show,bjdmegaroadshow,bjd mega road show,4
138745,139098,139098,SeniorCongressLeader,Senior Congress Leader,seniorcongressleader,senior congress leader,3
299054,299763,299763,TorroxCosta,Torrox Costa,torroxcosta,torrox costa,2
11463,11496,11496,JamantJabt,Jamant Jabt,jamantjabt,jamant jabt,2
21961,22030,22030,FakeVsReal,Fake Vs Real,fakevsreal,fake vs real,3
181474,181907,181907,CelebritiesWithNaMo,Celebrities With Na Mo,celebritieswithnamo,celebrities with na mo,4
61208,61381,61381,AngadiyaHenchman,Angadiya Henchman,angadiyahenchman,angadiya henchman,2
191231,191689,191689,IskaPatiChorHai,Iska Pati Chor Hai,iskapatichorhai,iska pati chor hai,4
175616,176040,176040,RahulGandhiLoveMuslim,Rahul Gandhi Love Muslim,rahulgandhilovemuslim,rahul gandhi love muslim,4
29989,30076,30076,IshqDiChasni,Ishq Di Chasni,ishqdichasni,ishq di chasni,3
147717,148082,148082,YaleGiri,Yale Giri,yalegiri,yale giri,2
127359,127684,127684,BJPWipeout,BJP Wipeout,bjpwipeout,bjp wipeout,2
259342,259960,259960,TamilsHateConngress,Tamils Hate Conngress,tamilshateconngress,tamils hate conngress,3
115480,115774,115774,SocalledChowkidarsTeam,Socalled Chowkidars Team,socalledchowkidarsteam,socalled chowkidars team,3
114982,115276,115276,WWCHs2018,WWC Hs 2018,wwchs2018,wwc hs 2018,3
83238,83467,83467,HogiNyayKiJeet,Hogi Nyay Ki Jeet,hoginyaykijeet,hogi nyay ki jeet,4
12137,12173,12173,BattlegroundUP,Battleground UP,battlegroundup,battleground up,2
303872,304596,304596,DangebajMamata,Dangebaj Mamata,dangebajmamata,dangebaj mamata,2
131172,131505,131505,iKONIK,i KONIK,ikonik,i konik,2
215198,215719,215719,MamataMurtiPolitics,Mamata Murti Politics,mamatamurtipolitics,mamata murti politics,3
27717,27803,27803,SeawageWaterManagement,Seawage Water Management,seawagewatermanagement,seawage water management,3
245912,246502,246502,IVotedStickers,I Voted Stickers,ivotedstickers,i voted stickers,3
142862,143220,143220,DMKWomenEmpowerment,DMK Women Empowerment,dmkwomenempowerment,dmk women empowerment,3
127851,128177,128177,indiaVPakistan,india V Pakistan,indiavpakistan,india v pakistan,3
94805,95061,95061,PeaBrainBJP,Pea Brain BJP,peabrainbjp,pea brain bjp,3
72586,72787,72787,HappyBirthdayZareenKhan,Happy Birthday Zareen Khan,happybirthdayzareenkhan,happy birthday zareen khan,4
64754,64932,64932,SKYCastle,SKY Castle,skycastle,sky castle,2
211860,212372,212372,2019MaiModisarkar,2019 Mai Modisarkar,2019maimodisarkar,2019 mai modisarkar,3
124363,124683,124683,VotingLiveUpdates,Voting Live Updates,votingliveupdates,voting live updates,3
51149,51295,51295,LokSabhaElectoins2019,Lok Sabha Electoins 2019,loksabhaelectoins2019,lok sabha electoins 2019,4
317196,317949,317949,PrafullaKumarMallik,Prafulla Kumar Mallik,prafullakumarmallik,prafulla kumar mallik,3
72963,73166,73166,ClintonEpstein,Clinton Epstein,clintonepstein,clinton epstein,2
198097,198572,198572,JoburgVacancies,Joburg Vacancies,joburgvacancies,joburg vacancies,2
196884,197358,197358,EFFisCommitted,EF Fis Committed,effiscommitted,ef fis committed,3
276149,276804,276804,CranesManufacturingCompany,Cranes Manufacturing Company,cranesmanufacturingcompany,cranes manufacturing company,3
111984,112272,112272,OpenSpace,Open Space,openspace,open space,2
292995,293692,293692,OppositionLeader,Opposition Leader,oppositionleader,opposition leader,2
277020,277676,277676,JaiLavaKusaEuphoria,Jai Lava Kusa Euphoria,jailavakusaeuphoria,jai lava kusa euphoria,4
237198,237766,237766,LalooPrasadYadav,Laloo Prasad Yadav,lalooprasadyadav,laloo prasad yadav,3
236978,237545,237545,RahulTwoSeat,Rahul Two Seat,rahultwoseat,rahul two seat,3
305083,305808,305808,GeneralElection2030,General Election 2030,generalelection2030,general election 2030,3
15451,15498,15498,EveryoneVotetoModiji,Everyone Voteto Modiji,everyonevotetomodiji,everyone voteto modiji,3
140623,140978,140978,VoteforGirirajSingh,Votefor Giriraj Singh,voteforgirirajsingh,votefor giriraj singh,3
293556,294254,294254,KhoDilseKamalPhirse,Kho Dilse Kamal Phirse,khodilsekamalphirse,kho dilse kamal phirse,4
296157,296860,296860,GharKaBhediLankaDhaye,Ghar Ka Bhedi Lanka Dhaye,gharkabhedilankadhaye,ghar ka bhedi lanka dhaye,5
32810,32904,32904,MPheChorhai,M Phe Chorhai,mphechorhai,m phe chorhai,3
148799,149165,149165,TiPscore4ANCgov,Ti Pscore 4 AN Cgov,tipscore4ancgov,ti pscore 4 an cgov,5
321704,322464,322464,INCSpamTweets,INC Spam Tweets,incspamtweets,inc spam tweets,3
286918,287599,287599,7TheMovieFromJune5,7 The Movie From June 5,7themoviefromjune5,7 the movie from june 5,6
283430,284104,284104,AmarShahid,Amar Shahid,amarshahid,amar shahid,2
311623,312364,312364,CongressCandidatelist,Congress Candidatelist,congresscandidatelist,congress candidatelist,2
235453,236015,236015,KaifiAzmi,Kaifi Azmi,kaifiazmi,kaifi azmi,2
18800,18856,18856,hyderabadNewsinHindi,hyderabad Newsin Hindi,hyderabadnewsinhindi,hyderabad newsin hindi,3
315943,316694,316694,JaiBengal,Jai Bengal,jaibengal,jai bengal,2
42874,42994,42994,EvilGenies,Evil Genies,evilgenies,evil genies,2
129546,129876,129876,PrajaVedikabuilding,Praja Vedikabuilding,prajavedikabuilding,praja vedikabuilding,2
152259,152638,152638,Verdict2019WithDainikSavera,Verdict 2019 With Dainik Savera,verdict2019withdainiksavera,verdict 2019 with dainik savera,5
242566,243147,243147,ChupeChapKamalChaap,Chupe Chap Kamal Chaap,chupechapkamalchaap,chupe chap kamal chaap,4
124633,124954,124954,25Abr,25 Abr,25abr,25 abr,2
271550,272192,272192,CallMePidi,Call Me Pidi,callmepidi,call me pidi,3
316,317,317,AskTheRainMaker,Ask The Rain Maker,asktherainmaker,ask the rain maker,4
45507,45634,45634,UncleG,Uncle G,uncleg,uncle g,2
283942,284618,284618,DrHarishChandraBurnwal,Dr Harish Chandra Burnwal,drharishchandraburnwal,dr harish chandra burnwal,4
308947,309682,309682,ThanosBhiAyega,Thanos Bhi Ayega,thanosbhiayega,thanos bhi ayega,3
319859,320617,320617,ChowkidarWillTasteHisDeeds,Chowkidar Will Taste His Deeds,chowkidarwilltastehisdeeds,chowkidar will taste his deeds,5
50338,50481,50481,DrinkingWaterEU,Drinking Water EU,drinkingwatereu,drinking water eu,3
226133,226682,226682,AbHoyaNyay,Ab Hoya Nyay,abhoyanyay,ab hoya nyay,3
19388,19446,19446,ComingToAmerica,Coming To America,comingtoamerica,coming to america,3
237827,238396,238396,ModiBachaoBudget,Modi Bachao Budget,modibachaobudget,modi bachao budget,3
161226,161622,161622,UNDOCUMENTEDrefugees,UNDOCUMENTE Drefugees,undocumentedrefugees,undocumente drefugees,2
1438,1444,1444,AzizQuershi,Aziz Quershi,azizquershi,aziz quershi,2
155783,156170,156170,24Can,24 Can,24can,24 can,2
86872,87110,87110,NumbersDoLie,Numbers Do Lie,numbersdolie,numbers do lie,3
71155,71353,71353,SidharthVaradarajan,Sidharth Varadarajan,sidharthvaradarajan,sidharth varadarajan,2
290231,290919,290919,RaGa2019ElectionGoal,Ra Ga 2019 Election Goal,raga2019electiongoal,ra ga 2019 election goal,5
42853,42973,42973,JaganGovt,Jagan Govt,jagangovt,jagan govt,2
327348,328115,328115,#NTRAllrounderOfTFI,NTR Allrounder Of TFI,#ntrallrounderoftfi,ntr allrounder of tfi,4
317078,317831,317831,PollingStationSocialMediaEVMHackingMachine,Polling Station Social Media EVM Hacking Machine,pollingstationsocialmediaevmhackingmachine,polling station social media evm hacking machine,7
181459,181892,181892,ReleaseTheTaxes,Release The Taxes,releasethetaxes,release the taxes,3
78890,79108,79108,PulseGhana,Pulse Ghana,pulseghana,pulse ghana,2
270201,270841,270841,TulisanRomantis,Tulisan Romantis,tulisanromantis,tulisan romantis,2
156996,157384,157384,ONEwithEVM,ON Ewith EVM,onewithevm,on ewith evm,3
243863,244449,244449,BuddhadebBhattacharya,Buddhadeb Bhattacharya,buddhadebbhattacharya,buddhadeb bhattacharya,2
137163,137513,137513,TnElection,Tn Election,tnelection,tn election,2
176568,176993,176993,CoverDrive,Cover Drive,coverdrive,cover drive,2
54135,54289,54289,YoungMagazine,Young Magazine,youngmagazine,young magazine,2
298,298,298,PoCAct,Po C Act,pocact,po c act,3
158191,158581,158581,BeAChampion,Be A Champion,beachampion,be a champion,3
18030,18084,18084,RefugeeFestScot,Refugee Fest Scot,refugeefestscot,refugee fest scot,3
129630,129960,129960,IndiaAgainstaNaMo,India Againsta Na Mo,indiaagainstanamo,india againsta na mo,4
136891,137241,137241,PromiseOfAustralia,Promise Of Australia,promiseofaustralia,promise of australia,3
84641,84875,84875,NoMoBiasedMedia,No Mo Biased Media,nomobiasedmedia,no mo biased media,4
111372,111660,111660,RepresentingUS,Representing US,representingus,representing us,2
151290,151666,151666,NoCompromise,No Compromise,nocompromise,no compromise,2
284396,285073,285073,SudeviRadhaKund,Sudevi Radha Kund,sudeviradhakund,sudevi radha kund,3
168048,168460,168460,IVotedSCC,I Voted SCC,ivotedscc,i voted scc,3
155931,156318,156318,BengalUnrest,Bengal Unrest,bengalunrest,bengal unrest,2
234746,235307,235307,AzamKhanBhagao,Azam Khan Bhagao,azamkhanbhagao,azam khan bhagao,3
251844,252449,252449,FakeRepot,Fake Repot,fakerepot,fake repot,2
170867,171284,171284,DocterStrike,Docter Strike,docterstrike,docter strike,2
323314,324079,324079,AllInTheFamily,All In The Family,allinthefamily,all in the family,4
100980,101250,101250,ChowkidarKamzorHai,Chowkidar Kamzor Hai,chowkidarkamzorhai,chowkidar kamzor hai,3
132264,132601,132601,EighteenAmendement,Eighteen Amendement,eighteenamendement,eighteen amendement,2
276115,276770,276770,OCSoru,OC Soru,ocsoru,oc soru,2
224234,224776,224776,NewJharkh,New Jharkh,newjharkh,new jharkh,2
174113,174536,174536,StopHateCrims,Stop Hate Crims,stophatecrims,stop hate crims,3
273169,273815,273815,DiamondBlack,Diamond Black,diamondblack,diamond black,2
247948,248545,248545,ModiHaiToMumkinHaiAre,Modi Hai To Mumkin Hai Are,modihaitomumkinhaiare,modi hai to mumkin hai are,6
88967,89214,89214,BugBounty,Bug Bounty,bugbounty,bug bounty,2
190591,191047,191047,WallPicture,Wall Picture,wallpicture,wall picture,2
104039,104316,104316,NorthernTerritory,Northern Territory,northernterritory,northern territory,2
257035,257649,257649,JusticeForNeerajBhadana,Justice For Neeraj Bhadana,justiceforneerajbhadana,justice for neeraj bhadana,4
295153,295854,295854,SaveOurWildLife,Save Our Wild Life,saveourwildlife,save our wild life,4
252624,253233,253233,WomenandChildDevelopmentMinister,Womenand Child Development Minister,womenandchilddevelopmentminister,womenand child development minister,4
91219,91468,91468,PhotoFrameFamily,Photo Frame Family,photoframefamily,photo frame family,3
162180,162579,162579,BallotQuestion,Ballot Question,ballotquestion,ballot question,2
157851,158241,158241,AmeekJamai,Ameek Jamai,ameekjamai,ameek jamai,2
325775,326542,326542,#WeStand4SSRJustice,We Stand 4 SSR Justice,#westand4ssrjustice,we stand 4 ssr justice,5
83962,84192,84192,Fir1BarModiSarkar,Fir 1 Bar Modi Sarkar,fir1barmodisarkar,fir 1 bar modi sarkar,5
149023,149390,149390,ActNow4Mapusa,Act Now 4 Mapusa,actnow4mapusa,act now 4 mapusa,4
162295,162695,162695,ChenaniConstituency,Chenani Constituency,chenaniconstituency,chenani constituency,2
151526,151902,151902,NationalismOnPoint,Nationalism On Point,nationalismonpoint,nationalism on point,3
178006,178432,178432,MeLord,Me Lord,melord,me lord,2
52028,52176,52176,VoteForBharatha,Vote For Bharatha,voteforbharatha,vote for bharatha,3
99735,100001,100001,NoMoreJumlas,No More Jumlas,nomorejumlas,no more jumlas,3
220218,220749,220749,RoscommonGAA,Roscommon GAA,roscommongaa,roscommon gaa,2
65247,65427,65427,Baahubali2Mania,Baahubali 2 Mania,baahubali2mania,baahubali 2 mania,3
273401,274048,274048,InduaVotes,Indua Votes,induavotes,indua votes,2
166299,166709,166709,PieceOfLegislation,Piece Of Legislation,pieceoflegislation,piece of legislation,3
79258,79476,79476,impeachBarrNOW,impeach Barr NOW,impeachbarrnow,impeach barr now,3
306172,306900,306900,ChoukidarYogiAdityaNath,Choukidar Yogi Aditya Nath,choukidaryogiadityanath,choukidar yogi aditya nath,4
34016,34112,34112,PakTerrorFactoryTruth,Pak Terror Factory Truth,pakterrorfactorytruth,pak terror factory truth,4
252697,253306,253306,IMPEACHTrumpNOW,IMPEACH Trump NOW,impeachtrumpnow,impeach trump now,3
232381,232937,232937,UKKingCharles,UK King Charles,ukkingcharles,uk king charles,3
105130,105409,105409,istandwithGambhir,istandwith Gambhir,istandwithgambhir,istandwith gambhir,2
288493,289177,289177,SerialLiarFeku,Serial Liar Feku,serialliarfeku,serial liar feku,3
232031,232587,232587,GujjarSamaj,Gujjar Samaj,gujjarsamaj,gujjar samaj,2
95336,95592,95592,OnceModiAlwaysModi,Once Modi Always Modi,oncemodialwaysmodi,once modi always modi,4
294335,295035,295035,ProphetMuhammad,Prophet Muhammad,prophetmuhammad,prophet muhammad,2
160885,161281,161281,ColossalCollectibles,Colossal Collectibles,colossalcollectibles,colossal collectibles,2
306844,307573,307573,SankarGanesh,Sankar Ganesh,sankarganesh,sankar ganesh,2
126725,127050,127050,SamjdarKoisharaKaphihaii,Samjdar Koishara Kaphihaii,samjdarkoisharakaphihaii,samjdar koishara kaphihaii,3
273705,274352,274352,MadhuYaskhi,Madhu Yaskhi,madhuyaskhi,madhu yaskhi,2
78022,78238,78238,Phase6GeneralElections2019,Phase 6 General Elections 2019,phase6generalelections2019,phase 6 general elections 2019,5
12007,12043,12043,BlackMoneyInApElections,Black Money In Ap Elections,blackmoneyinapelections,black money in ap elections,5
195124,195595,195595,SaferJoburg,Safer Joburg,saferjoburg,safer joburg,2
146115,146477,146477,EkAurBarChowkidarSarkar,Ek Aur Bar Chowkidar Sarkar,ekaurbarchowkidarsarkar,ek aur bar chowkidar sarkar,5
177922,178347,178347,AgainEVMtarget,Again EV Mtarget,againevmtarget,again ev mtarget,3
197863,198338,198338,ForBharath,For Bharath,forbharath,for bharath,2
271039,271681,271681,GazaDeserveToLive,Gaza Deserve To Live,gazadeservetolive,gaza deserve to live,4
135551,135899,135899,RuralEducation,Rural Education,ruraleducation,rural education,2
62431,62605,62605,GrowWealthFinancialServices,Grow Wealth Financial Services,growwealthfinancialservices,grow wealth financial services,4
242500,243080,243080,DravidianState,Dravidian State,dravidianstate,dravidian state,2
249086,249685,249685,votaunaDonna,votauna Donna,votaunadonna,votauna donna,2
150120,150490,150490,DipaDasMunsi,Dipa Das Munsi,dipadasmunsi,dipa das munsi,3
110371,110656,110656,NST4MorenaSeopurLoksabha,NST 4 Morena Seopur Loksabha,nst4morenaseopurloksabha,nst 4 morena seopur loksabha,5
233676,234234,234234,CMIECPDXdata,CMIECPD Xdata,cmiecpdxdata,cmiecpd xdata,2
236489,237055,237055,ViolentDidi,Violent Didi,violentdidi,violent didi,2
275013,275664,275664,MuslimLynching,Muslim Lynching,muslimlynching,muslim lynching,2
39084,39195,39195,IPSWVocabulary,IPSW Vocabulary,ipswvocabulary,ipsw vocabulary,2
152307,152686,152686,NationalShameNow,National Shame Now,nationalshamenow,national shame now,3
50807,50951,50951,LajpatNagarCentralMarket,Lajpat Nagar Central Market,lajpatnagarcentralmarket,lajpat nagar central market,4
92687,92938,92938,IstandWithAtishi,Istand With Atishi,istandwithatishi,istand with atishi,3
58501,58666,58666,EarlyBreakfast,Early Breakfast,earlybreakfast,early breakfast,2
313031,313773,313773,RanchiMPSanjaySeth,Ranchi MP Sanjay Seth,ranchimpsanjayseth,ranchi mp sanjay seth,4
211320,211830,211830,DelhiElection,Delhi Election,delhielection,delhi election,2
261665,262289,262289,ArunShankerShukla,Arun Shanker Shukla,arunshankershukla,arun shanker shukla,3
97632,97893,97893,ZeeRishteyAwards2018,Zee Rishtey Awards 2018,zeerishteyawards2018,zee rishtey awards 2018,4
190207,190663,190663,OnJune21,On June 21,onjune21,on june 21,3
115622,115916,115916,FindYourRoute,Find Your Route,findyourroute,find your route,3
176443,176868,176868,NoIdentityPolitics,No Identity Politics,noidentitypolitics,no identity politics,3
311558,312298,312298,VoterIQ,Voter IQ,voteriq,voter iq,2
235230,235792,235792,DonateForSyrianYouth,Donate For Syrian Youth,donateforsyrianyouth,donate for syrian youth,4
71655,71854,71854,SaxonwoldShebeen,Saxonwold Shebeen,saxonwoldshebeen,saxonwold shebeen,2
265787,266416,266416,RahulDarGaya,Rahul Dar Gaya,rahuldargaya,rahul dar gaya,3
22093,22162,22162,ChowkiLiar,Chowki Liar,chowkiliar,chowki liar,2
135477,135825,135825,AhmedShah,Ahmed Shah,ahmedshah,ahmed shah,2
295577,296278,296278,APCMPressMeetLive,APCM Press Meet Live,apcmpressmeetlive,apcm press meet live,4
315457,316208,316208,TrunamulCongress,Trunamul Congress,trunamulcongress,trunamul congress,2
283994,284670,284670,GoodRoad,Good Road,goodroad,good road,2
294449,295149,295149,HouseSubpoena,House Subpoena,housesubpoena,house subpoena,2
220335,220866,220866,RahulSucks,Rahul Sucks,rahulsucks,rahul sucks,2
173087,173506,173506,UddhavThakrey,Uddhav Thakrey,uddhavthakrey,uddhav thakrey,2
16547,16597,16597,bigZ,big Z,bigz,big z,2
196346,196820,196820,StartSpreadingTheNews,Start Spreading The News,startspreadingthenews,start spreading the news,4
285651,286331,286331,VotePatnaVote,Vote Patna Vote,votepatnavote,vote patna vote,3
308231,308965,308965,TNstandswithmodi,T Nstandswithmodi,tnstandswithmodi,t nstandswithmodi,2
48878,49016,49016,JeChoisisVauclin,Je Choisis Vauclin,jechoisisvauclin,je choisis vauclin,3
146520,146883,146883,GangOfBollywood,Gang Of Bollywood,gangofbollywood,gang of bollywood,3
56160,56322,56322,EnaiNokiPaayumThota,Enai Noki Paayum Thota,enainokipaayumthota,enai noki paayum thota,4
19747,19806,19806,TRSPublicMeetinginKarimnagar,TRS Public Meetingin Karimnagar,trspublicmeetinginkarimnagar,trs public meetingin karimnagar,4
40070,40184,40184,SaveHindusfromBagdidi,Save Hindusfrom Bagdidi,savehindusfrombagdidi,save hindusfrom bagdidi,3
146806,147170,147170,AnoopPawar,Anoop Pawar,anooppawar,anoop pawar,2
241450,242028,242028,AiyashChowkidar,Aiyash Chowkidar,aiyashchowkidar,aiyash chowkidar,2
108672,108954,108954,KPJPCombinedtoCongress,KPJP Combinedto Congress,kpjpcombinedtocongress,kpjp combinedto congress,3
167813,168225,168225,TeamIndiaBhagwaRang,Team India Bhagwa Rang,teamindiabhagwarang,team india bhagwa rang,4
248340,248938,248938,volbyPrezidenta,volby Prezidenta,volbyprezidenta,volby prezidenta,2
4901,4918,4918,KarnatakaBJP,Karnataka BJP,karnatakabjp,karnataka bjp,2
230044,230597,230597,DeportThemAllNow,Deport Them All Now,deportthemallnow,deport them all now,4
142075,142432,142432,VotePA12Blue,Vote PA 12 Blue,votepa12blue,vote pa 12 blue,4
86545,86782,86782,AgrarainCrisis,Agrarain Crisis,agraraincrisis,agrarain crisis,2
74125,74331,74331,welldoneIKPM,welldone IKPM,welldoneikpm,welldone ikpm,2
94244,94497,94497,KissBeeWEST,Kiss Bee WEST,kissbeewest,kiss bee west,3
13453,13495,13495,DustFreeDelhi,Dust Free Delhi,dustfreedelhi,dust free delhi,3
248173,248770,248770,ChokidarHoToAisa,Chokidar Ho To Aisa,chokidarhotoaisa,chokidar ho to aisa,4
152541,152920,152920,SurajJatav,Suraj Jatav,surajjatav,suraj jatav,2
109176,109459,109459,SPAmitSinghtransferred,SP Amit Singhtransferred,spamitsinghtransferred,sp amit singhtransferred,3
184317,184759,184759,PulseofTelangana,Pulseof Telangana,pulseoftelangana,pulseof telangana,2
102087,102358,102358,HistoryofIndia,Historyof India,historyofindia,historyof india,2
162438,162838,162838,NDTVians,NDT Vians,ndtvians,ndt vians,2
10160,10190,10190,MukeshAmbaniSupportsCongress,Mukesh Ambani Supports Congress,mukeshambanisupportscongress,mukesh ambani supports congress,4
236768,237335,237335,CWHarrismodernization,CW Harrismodernization,cwharrismodernization,cw harrismodernization,2
124239,124559,124559,GKishanReddyGaru,G Kishan Reddy Garu,gkishanreddygaru,g kishan reddy garu,4
184174,184615,184615,HafeezJi,Hafeez Ji,hafeezji,hafeez ji,2
129459,129789,129789,WHPressSecretary,WH Press Secretary,whpresssecretary,wh press secretary,3
289407,290092,290092,ManyFarms,Many Farms,manyfarms,many farms,2
65202,65381,65381,VotingIsVeryCool,Voting Is Very Cool,votingisverycool,voting is very cool,4
59360,59528,59528,SaveDemocracyNotDynasty,Save Democracy Not Dynasty,savedemocracynotdynasty,save democracy not dynasty,4
296258,296961,296961,KeepFamiliesTogether,Keep Families Together,keepfamiliestogether,keep families together,3
209413,209917,209917,VoteForDesh,Vote For Desh,votefordesh,vote for desh,3
296567,297271,297271,ValarHotstar,Valar Hotstar,valarhotstar,valar hotstar,2
296822,297527,297527,LEEDbracket,LEE Dbracket,leedbracket,lee dbracket,2
230585,231139,231139,PhireekbaarModiSarkar,Phireekbaar Modi Sarkar,phireekbaarmodisarkar,phireekbaar modi sarkar,3
150354,150725,150725,CeramicTiles,Ceramic Tiles,ceramictiles,ceramic tiles,2
53442,53594,53594,ModiWithTimesNow,Modi With Times Now,modiwithtimesnow,modi with times now,4
50386,50529,50529,MLAs,ML As,mlas,ml as,2
243203,243786,243786,DrudAddictKaBaapGandhi,Drud Addict Ka Baap Gandhi,drudaddictkabaapgandhi,drud addict ka baap gandhi,5
202706,203195,203195,RaGaTumSeNaHoPayega,Ra Ga Tum Se Na Ho Payega,ragatumsenahopayega,ra ga tum se na ho payega,7
57285,57450,57450,ChiralaYCPCandidateAmanchi,Chirala YCP Candidate Amanchi,chiralaycpcandidateamanchi,chirala ycp candidate amanchi,4
58996,59162,59162,WhoIsRealFeku,Who Is Real Feku,whoisrealfeku,who is real feku,4
299342,300052,300052,BookTourPackage,Book Tour Package,booktourpackage,book tour package,3
179114,179541,179541,LalChandKatariya,Lal Chand Katariya,lalchandkatariya,lal chand katariya,3
149462,149831,149831,KaranKangana,Karan Kangana,karankangana,karan kangana,2
127289,127614,127614,YePublicSabJaantiHai,Ye Public Sab Jaanti Hai,yepublicsabjaantihai,ye public sab jaanti hai,5
196873,197347,197347,RaviSrivastva,Ravi Srivastva,ravisrivastva,ravi srivastva,2
15272,15318,15318,GCFinNewark,GC Fin Newark,gcfinnewark,gc fin newark,3
210828,211337,211337,JanasenaEffect,Janasena Effect,janasenaeffect,janasena effect,2
305366,306092,306092,ChaiLover,Chai Lover,chailover,chai lover,2
59258,59426,59426,KKMahenderReddy,KK Mahender Reddy,kkmahenderreddy,kk mahender reddy,3
272964,273609,273609,PardeepSingh,Pardeep Singh,pardeepsingh,pardeep singh,2
118930,119235,119235,BiggBossSession3,Bigg Boss Session 3,biggbosssession3,bigg boss session 3,4
150159,150529,150529,YeThappadKyaKehlataHai,Ye Thappad Kya Kehlata Hai,yethappadkyakehlatahai,ye thappad kya kehlata hai,5
239354,239928,239928,unsungHeroes,unsung Heroes,unsungheroes,unsung heroes,2
47779,47915,47915,BlockchainTechnology,Blockchain Technology,blockchaintechnology,blockchain technology,2
273450,274097,274097,MangoNews,Mango News,mangonews,mango news,2
34600,34696,34696,ShameOnYouAzam,Shame On You Azam,shameonyouazam,shame on you azam,4
46970,47102,47102,CCVUnplugged,CCV Unplugged,ccvunplugged,ccv unplugged,2
285014,285693,285693,MaitShah,Mait Shah,maitshah,mait shah,2
310036,310773,310773,TerroristAttack,Terrorist Attack,terroristattack,terrorist attack,2
268064,268699,268699,VasthaduJagan,Vasthadu Jagan,vasthadujagan,vasthadu jagan,2
305207,305932,305932,BJPMalaysia,BJP Malaysia,bjpmalaysia,bjp malaysia,2
119746,120052,120052,PawanKalyanLatest,Pawan Kalyan Latest,pawankalyanlatest,pawan kalyan latest,3
